Hora_decimal,P_3f_S,Q_3f_S
0.0,743.825,55.6987
0.25,743.825,55.6987
0.5,743.837,55.6894
0.75,743.833,55.689600000000006
1.0,743.839,55.68899999999999
1.25,743.819,55.694100000000006
1.5,743.844,55.6932
1.75,743.842,55.690200000000004
2.0,743.846,55.6866
2.25,743.831,55.6862
2.5,743.839,55.68470000000001
2.75,743.837,55.683099999999996
3.0,12.77581,14.89039
3.25,12.77617,14.892499999999998
3.5,12.77605,14.891840000000002
3.75,12.77521,14.887610000000002
4.0,12.77494,14.886090000000001
4.25,12.774339999999999,14.88308
4.5,12.774429999999999,14.883420000000001
4.75,12.775570000000002,14.88927
5.0,12.77797,14.90145
5.25,12.78115,14.91338
5.5,12.78193,14.91753
5.75,12.783760000000001,14.92693
6.0,12.78529,14.93497
6.25,12.784749999999999,14.93233
6.5,12.78497,14.93336
6.75,12.78497,14.93338
7.0,12.78469,14.93201
7.25,12.78436,14.93026
7.5,12.78361,14.92641
7.75,12.78355,14.92607
8.0,12.78298,14.92312
8.25,12.783009999999999,14.923100000000002
8.5,12.802240000000001,14.929959999999998
8.75,12.82096,14.93413
9.0,12.84196,14.950199999999999
9.25,12.863710000000001,14.960810000000002
9.5,12.886210000000002,14.97064
9.75,12.91009,14.98281
10.0,12.93415,14.9914
10.25,12.94312,14.99618
10.5,12.95166,15.00328
10.75,12.9607,15.008100000000002
11.0,12.96979,15.00899
11.25,12.98134,15.01294
11.5,12.9939,15.02251
11.75,13.00402,15.019390000000001
12.0,13.01564,15.02378
12.25,13.02776,15.030920000000002
12.5,13.03792,15.03247
12.75,13.048960000000001,15.038619999999998
13.0,13.059909999999999,15.039670000000001
13.25,13.06513,15.04802
13.5,13.069329999999999,15.05122
13.75,13.073170000000001,15.047919999999998
14.0,13.078570000000001,15.05728
14.25,13.07734,15.051139999999998
14.5,13.07836,15.05167
14.75,13.08106,15.05623
15.0,13.080939999999998,15.0511
15.25,13.06819,15.04525
15.5,13.055140000000002,15.0382
15.75,13.04059,15.023109999999999
16.0,13.0291,15.01462
16.25,13.03171,15.00508
16.5,13.03883,15.01399
16.75,13.045300000000001,15.02408
17.0,13.05169,15.02938
17.25,13.04041,15.026710000000001
17.5,13.029129999999999,15.023880000000002
17.75,13.01638,15.01822
18.0,13.00327,15.0061
18.25,12.988389999999999,15.003129999999999
18.5,12.96991,14.99113
18.75,12.95119,14.986720000000002
19.0,12.929739999999999,14.977870000000001
19.25,12.90427,14.966610000000001
19.5,12.87601,14.950219999999998
19.75,12.847360000000002,14.92737
20.0,12.818259999999999,14.906589999999998
20.25,12.81691,14.90398
20.5,12.815999999999999,14.903889999999999
20.75,12.81394,14.902410000000001
21.0,12.81312,14.90295
21.25,12.80968,14.90356
21.5,12.80413,14.89359
21.75,12.799780000000002,14.88948
22.0,12.7957,14.886869999999998
22.25,12.787180000000001,14.88455
22.5,12.776019999999999,14.877780000000001
22.75,12.77413,14.88177
23.0,12.7741,14.88183
23.25,12.77347,14.878549999999999
23.5,12.774069999999998,14.88162
23.75,12.77419,14.882280000000002
24.0,12.77308,14.87656
24.25,12.772089999999999,14.87149
24.5,12.77185,14.8702
24.75,12.77292,14.875510000000002
25.0,12.774370000000001,14.88301
25.25,12.77428,14.88275
25.5,12.7747,14.884920000000001
25.75,12.774909999999998,14.885869999999999
26.0,12.774460000000001,14.883680000000002
26.25,12.774339999999999,14.88307
26.5,12.774339999999999,14.88299
26.75,12.775300000000001,14.88783
27.0,12.7756,14.889569999999999
27.25,12.776140000000002,14.892339999999999
27.5,12.776319999999998,14.89332
27.75,12.775689999999999,14.89007
28.0,12.775030000000001,14.88652
28.25,12.77432,14.88302
28.5,12.7744,14.88326
28.75,12.77506,14.88662
29.0,12.77608,14.891949999999998
29.25,12.7768,14.89564
29.5,12.77692,14.89639
29.75,12.78075,14.911249999999999
30.0,12.78157,14.915780000000002
30.25,12.78061,14.91089
30.5,12.78039,14.909679999999998
30.75,12.77854,14.90483
31.0,12.77338,14.87892
31.25,12.79537,14.87232
31.5,12.815739999999998,14.84703
31.75,12.833350000000001,14.817629999999998
32.0,12.85171,14.796840000000001
32.25,12.86685,14.773149999999998
32.5,12.88211,14.75477
32.75,12.89961,14.744869999999999
33.0,12.912099999999999,14.69688
33.25,12.90794,14.67987
33.5,12.90768,14.67915
33.75,12.90863,14.68341
34.0,12.915569999999999,14.70997
34.25,12.929359999999999,14.67492
34.5,12.94902,14.67005
34.75,12.970489999999998,14.66984
35.0,12.9893,14.657989999999998
35.25,13.012500000000001,14.677709999999998
35.5,13.03562,14.691650000000001
35.75,13.060429999999998,14.708369999999999
36.0,13.08626,14.726480000000002
36.25,13.066749999999999,14.726420000000001
36.5,13.05144,14.73168
36.75,13.03829,14.732380000000001
37.0,13.02695,14.734829999999999
37.25,13.0537,14.76651
37.5,13.08114,14.79726
37.75,13.11049,14.828579999999999
38.0,13.14401,14.86761
38.25,13.133939999999999,14.85762
38.5,13.12386,14.842200000000002
38.75,13.125340000000001,14.886849999999999
39.0,13.12743,14.93476
39.25,13.11719,14.936770000000001
39.5,13.10761,14.938860000000002
39.75,13.09956,14.93853
40.0,13.093599999999999,14.94051
40.25,13.081479999999999,14.942070000000001
40.5,13.070730000000001,14.94264
40.75,13.059,14.941759999999999
41.0,13.050519999999999,14.953080000000002
41.25,13.045749999999998,14.94342
41.5,13.05088,14.982299999999999
41.75,13.04701,14.982
42.0,-357.86400000000003,26.183369999999996
42.25,-351.62699999999995,25.849829999999997
42.5,-351.027,25.807199999999998
42.75,-347.063,25.59574
43.0,-346.476,25.5486
43.25,-342.225,25.326359999999998
43.5,-341.028,25.248440000000002
43.75,-345.558,25.457140000000003
44.0,-354.906,25.940399999999997
44.25,-352.934,25.83668
44.5,-349.815,25.67289
44.75,-345.54900000000004,25.45242
45.0,678.1270000000001,49.2184
45.25,667.427,48.1915
45.5,667.354,48.206799999999994
45.75,667.371,48.214200000000005
46.0,667.4000000000001,48.2106
46.25,667.416,48.205
46.5,667.394,48.198100000000004
46.75,667.394,48.196
47.0,667.397,48.192099999999996
47.25,12.82199,14.879040000000002
47.5,12.816569999999999,14.8746
47.75,12.81112,14.86944
48.0,12.80742,14.8734
48.25,12.803440000000002,14.87142
48.5,12.798940000000002,14.87125
48.75,12.79411,14.86485
49.0,12.788790000000002,14.86049
49.25,12.783909999999999,14.858319999999999
49.5,12.77791,14.859750000000002
49.75,12.77245,14.854800000000001
50.0,12.7695,14.85783
50.25,12.76879,14.854379999999999
50.5,12.768550000000001,14.853150000000001
50.75,12.77031,14.86194
51.0,12.772929999999999,14.87577
51.25,12.77284,14.87521
51.5,12.77202,14.871099999999998
51.75,12.77233,14.87263
52.0,12.77197,14.87076
52.25,12.771370000000001,14.867790000000001
52.5,12.77101,14.86586
52.75,12.77146,14.86812
53.0,12.77167,14.86918
53.25,12.77227,14.87232
53.5,12.774059999999999,14.881440000000001
53.75,12.775479999999998,14.888849999999998
54.0,12.775300000000001,14.888020000000001
54.25,12.77517,14.88729
54.5,12.77647,14.89386
54.75,12.77467,14.884960000000001
55.0,12.770710000000001,14.86485
55.25,12.765730000000001,14.839469999999999
55.5,12.758410000000001,14.802299999999999
55.75,12.75916,14.769479999999998
56.0,12.76541,14.74425
56.25,12.77036,14.70959
56.5,12.778380000000002,14.6909
56.75,12.789930000000002,14.69088
57.0,12.79975,14.68234
57.25,12.83061,14.70176
57.5,12.86037,14.69525
57.75,12.904679999999999,14.723230000000001
58.0,12.95676,14.75166
58.25,12.954360000000001,14.74025
58.5,12.95466,14.736239999999999
58.75,12.956310000000002,14.74007
59.0,12.95792,14.73911
59.25,12.95412,14.74233
59.5,12.950700000000001,14.74745
59.75,12.949919999999999,14.757290000000001
60.0,12.94735,14.758590000000002
60.25,12.95775,14.77019
60.5,12.96711,14.7774
60.75,12.9793,14.80169
61.0,12.992609999999999,14.830549999999999
61.25,12.99332,14.84235
61.5,12.99423,14.862020000000001
61.75,12.99411,14.87003
62.0,12.9965,14.892280000000001
62.25,12.99457,14.900669999999998
62.5,12.99141,14.90307
62.75,12.987270000000002,14.895599999999998
63.0,12.98518,14.89866
63.25,12.98997,14.900279999999999
63.5,12.99615,14.909040000000001
63.75,13.00189,14.91516
64.0,13.0075,14.916780000000001
64.25,12.99859,14.92116
64.5,12.988809999999999,14.92203
64.75,12.97951,14.924520000000001
65.0,12.97117,14.93232
65.25,12.967479999999998,14.94097
65.5,12.961359999999999,14.94672
65.75,12.95539,14.948249999999998
66.0,-331.956,24.81049
66.25,-324.321,24.42785
66.5,-320.90299999999996,24.25721
66.75,-312.62199999999996,23.846310000000003
67.0,-308.67,23.65804
67.25,-304.671,23.458470000000002
67.5,-305.793,23.48705
67.75,-310.85699999999997,23.69892
68.0,-319.128,24.09928
68.25,-324.169,24.331500000000002
68.5,-323.34299999999996,24.30146
68.75,-321.84299999999996,24.23117
69.0,701.99,51.48180000000001
69.25,702.116,51.4748
69.5,702.084,51.478100000000005
69.75,702.1120000000001,51.473299999999995
70.0,702.096,51.474500000000006
70.25,702.092,51.4764
70.5,702.097,51.4721
70.75,713.318,52.5877
71.0,12.77371,14.87951
71.25,12.77263,14.874270000000001
71.5,12.77438,14.883120000000002
71.75,12.77449,14.883840000000001
72.0,12.77441,14.883400000000002
72.25,12.77371,14.87991
72.5,12.773589999999999,14.87913
72.75,12.7726,14.87415
73.0,12.773229999999998,14.877220000000001
73.25,12.77326,14.87744
73.5,12.77413,14.8819
73.75,12.77338,14.87808
74.0,12.77329,14.87767
74.25,12.77401,14.881290000000002
74.5,12.77368,14.87968
74.75,12.773050000000001,14.876380000000001
75.0,12.77299,14.87599
75.25,12.77289,14.875499999999999
75.5,12.77311,14.876660000000001
75.75,12.77374,14.8799
76.0,12.773859999999999,14.8805
76.25,12.773589999999999,14.879190000000001
76.5,12.773530000000001,14.87885
76.75,12.77299,14.87602
77.0,12.773499999999999,14.878600000000002
77.25,12.7747,14.884810000000002
77.5,12.78031,14.908890000000001
77.75,12.78157,14.91575
78.0,12.78322,14.924240000000001
78.25,12.784030000000001,14.928440000000002
78.5,12.78292,14.92285
78.75,12.781480000000002,14.915500000000002
79.0,12.78154,14.915579999999999
79.25,12.78157,14.91575
79.5,12.78106,14.913260000000001
79.75,12.78029,14.909279999999999
80.0,12.803170000000001,14.91638
80.25,12.819609999999999,14.922509999999999
80.5,12.834340000000001,14.92462
80.75,12.84964,14.93414
81.0,12.862630000000001,14.93679
81.25,12.87067,14.94114
81.5,12.87733,14.94328
81.75,12.884229999999999,14.946480000000001
82.0,12.89134,14.95075
82.25,12.902470000000001,14.95729
82.5,12.913030000000001,14.961039999999999
82.75,12.92314,14.966829999999998
83.0,12.933699999999998,14.975259999999999
83.25,12.954039999999999,14.983049999999999
83.5,12.97888,15.000520000000002
83.75,13.00366,15.01285
84.0,13.03045,15.02158
84.25,13.00063,15.00629
84.5,12.97804,14.996089999999999
84.75,12.958870000000001,14.98496
85.0,12.94474,14.981360000000002
85.25,12.96424,14.99389
85.5,12.98225,14.994699999999998
85.75,13.00321,15.00563
86.0,13.026969999999999,15.01744
86.25,13.00522,15.00693
86.5,12.988299999999999,14.998140000000001
86.75,12.975670000000001,14.98845
87.0,12.964369999999999,14.98099
87.25,12.96895,14.98144
87.5,12.974890000000002,14.98441
87.75,12.97981,14.981930000000002
88.0,12.986430000000002,14.983839999999999
88.25,12.98734,14.988270000000002
88.5,12.988869999999999,14.99182
88.75,12.988959999999999,14.99224
89.0,12.99024,14.99875
89.25,12.9812,14.993870000000001
89.5,12.97204,14.99284
89.75,12.961359999999999,14.988509999999998
90.0,12.950890000000001,14.98535
90.25,12.93205,14.97595
90.5,12.91135,14.96152
90.75,12.89038,14.95044
91.0,12.868179999999999,14.93758
91.25,12.84301,14.92773
91.5,12.81607,14.918129999999998
91.75,12.786459999999998,14.89491
92.0,12.77281,14.875449999999999
92.25,12.77326,14.87737
92.5,12.773320000000002,14.877749999999999
92.75,12.773589999999999,14.879170000000002
93.0,12.77308,14.876520000000001
93.25,12.773029999999999,14.87625
93.5,12.773620000000001,14.879259999999999
93.75,12.77299,14.87614
94.0,12.77329,14.877569999999999
94.25,12.773320000000002,14.8778
94.5,12.7726,14.873970000000002
94.75,12.77338,14.87795
95.0,12.7732,14.87718
95.25,12.77239,14.87305
95.5,12.77356,14.87896
95.75,12.773320000000002,14.877760000000002
96.0,12.77206,14.871300000000002
96.25,12.7723,14.87247
96.5,12.7729,14.875499999999999
96.75,12.77287,14.87536
97.0,12.77299,14.87601
97.25,12.77335,14.87795
97.5,12.7741,14.88176
97.75,12.77374,14.87998
98.0,12.77482,14.8854
98.25,12.77461,14.88438
98.5,12.77476,14.88512
98.75,12.775570000000002,14.88924
99.0,12.77506,14.88672
99.25,12.776140000000002,14.89217
99.5,12.775570000000002,14.88938
99.75,12.77428,14.88289
100.0,12.773530000000001,14.87884
100.25,12.774460000000001,14.883509999999998
100.5,12.774370000000001,14.883130000000001
100.75,12.774460000000001,14.883670000000002
101.0,12.77467,14.88471
101.25,12.773620000000001,14.87936
101.5,12.778929999999999,14.906279999999999
101.75,12.78241,14.91986
102.0,12.78358,14.92605
102.25,12.78286,14.922540000000001
102.5,12.7834,14.925139999999999
102.75,12.783190000000001,14.92417
103.0,12.78295,14.922920000000001
103.25,12.78157,14.9159
103.5,12.781270000000001,14.914240000000001
103.75,12.78097,14.91271
104.0,12.780249999999999,14.90905
104.25,12.77779,14.9008
104.5,12.77683,14.89583
104.75,12.793030000000002,14.90532
